Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
0 global -1.0 0.5 0.482901 .2 0.1 0.11 0
1 global 1.0 0.5 0.477284 .2 0.1 0.11 25
2 global -1.0 0.5 0.476847 .2 0.1 0.11 25
3 global 1.0 0.5 0.483468 .2 0.1 0.11 0
4 global -1.0 0.5 0.548044 .2 0.1 0.11 1
5 global 1.0 0.5 0.443089 .2 0.1 0.11 26
6 global -1.0 0.5 0.441063 .2 0.1 0.11 26
7 global 1.0 0.5 0.549977 .2 0.1 0.11 1
8 global -1.0 0.5 0.444893 .2 0.1 0.11 2
9 global 1.0 0.5 0.555616 .2 0.1 0.11 27
10 global -1.0 0.5 0.556157 .2 0.1 0.11 27
11 global 1.0 0.5 0.444620 .2 0.1 0.11 2
12 global -1.0 0.5 0.443150 .2 0.1 0.11 3
13 global 1.0 0.5 0.573700 .2 0.1 0.11 28
14 global -1.0 0.5 0.573651 .2 0.1 0.11 28
15 global 1.0 0.5 0.442999 .2 0.1 0.11 3
16 global -1.0 0.5 0.558803 .2 0.1 0.11 4
17 global 1.0 0.5 0.482144 .2 0.1 0.11 29
18 global -1.0 0.5 0.480729 .2 0.1 0.11 29
19 global 1.0 0.5 0.559961 .2 0.1 0.11 4
20 global -1.0 0.5 0.505140 .2 0.1 0.11 5
21 global 1.0 0.5 0.450684 .2 0.1 0.11 30
22 global -1.0 0.5 0.449113 .2 0.1 0.11 30
23 global 1.0 0.5 0.506490 .2 0.1 0.11 5
24 global -1.0 0.5 0.526701 .2 0.1 0.11 6
25 global 1.0 0.5 0.524466 .2 0.1 0.11 31
26 global -1.0 0.5 0.523827 .2 0.1 0.11 31
27 global 1.0 0.5 0.528389 .2 0.1 0.11 6
28 global -1.0 0.5 0.564020 .2 0.1 0.11 7
29 global 1.0 0.5 0.431237 .2 0.1 0.11 32
30 global -1.0 0.5 0.430887 .2 0.1 0.11 32
31 global 1.0 0.5 0.564127 .2 0.1 0.11 7
32 global -1.0 0.5 0.559348 .2 0.1 0.11 8
33 global 1.0 0.5 0.521771 .2 0.1 0.11 33
34 global -1.0 0.5 0.519673 .2 0.1 0.11 33
35 global 1.0 0.5 0.561672 .2 0.1 0.11 8
36 global -1.0 0.5 0.525116 .2 0.1 0.11 9
37 global 1.0 0.5 0.465398 .2 0.1 0.11 34
38 global -1.0 0.5 0.464039 .2 0.1 0.11 34
39 global 1.0 0.5 0.526556 .2 0.1 0.11 9
