Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
0 global -1.0 0.5 -0.080854 .2 0.1 0.11 0
1 global 1.0 0.5 -0.048190 .2 0.1 0.11 25
2 global -1.0 0.5 -0.068949 .2 0.1 0.11 25
3 global 1.0 0.5 -0.053550 .2 0.1 0.11 0
4 global -1.0 0.5 0.093287 .2 0.1 0.11 1
5 global 1.0 0.5 -0.123776 .2 0.1 0.11 26
6 global -1.0 0.5 -0.146226 .2 0.1 0.11 26
7 global 1.0 0.5 0.115352 .2 0.1 0.11 1
8 global -1.0 0.5 -0.138264 .2 0.1 0.11 2
9 global 1.0 0.5 0.148517 .2 0.1 0.11 27
10 global -1.0 0.5 0.129322 .2 0.1 0.11 27
11 global 1.0 0.5 -0.119117 .2 0.1 0.11 2
12 global -1.0 0.5 -0.130568 .2 0.1 0.11 3
13 global 1.0 0.5 0.190308 .2 0.1 0.11 28
14 global -1.0 0.5 0.167650 .2 0.1 0.11 28
15 global 1.0 0.5 -0.106808 .2 0.1 0.11 3
16 global -1.0 0.5 0.109209 .2 0.1 0.11 4
17 global 1.0 0.5 -0.033729 .2 0.1 0.11 29
18 global -1.0 0.5 -0.055687 .2 0.1 0.11 29
19 global 1.0 0.5 0.130832 .2 0.1 0.11 4
20 global -1.0 0.5 0.022116 .2 0.1 0.11 5
21 global 1.0 0.5 -0.091605 .2 0.1 0.11 30
22 global -1.0 0.5 -0.112807 .2 0.1 0.11 30
23 global 1.0 0.5 0.042211 .2 0.1 0.11 5
24 global -1.0 0.5 0.054126 .2 0.1 0.11 6
25 global 1.0 0.5 0.080185 .2 0.1 0.11 31
26 global -1.0 0.5 0.060052 .2 0.1 0.11 31
27 global 1.0 0.5 0.078192 .2 0.1 0.11 6
28 global -1.0 0.5 0.124336 .2 0.1 0.11 7
29 global 1.0 0.5 -0.137601 .2 0.1 0.11 32
30 global -1.0 0.5 -0.161136 .2 0.1 0.11 32
31 global 1.0 0.5 0.147549 .2 0.1 0.11 7
32 global -1.0 0.5 0.112550 .2 0.1 0.11 8
33 global 1.0 0.5 0.101679 .2 0.1 0.11 33
34 global -1.0 0.5 0.071038 .2 0.1 0.11 33
35 global 1.0 0.5 0.137024 .2 0.1 0.11 8
36 global -1.0 0.5 0.040592 .2 0.1 0.11 9
37 global 1.0 0.5 -0.118658 .2 0.1 0.11 34
38 global -1.0 0.5 -0.148027 .2 0.1 0.11 34
39 global 1.0 0.5 0.062266 .2 0.1 0.11 9
40 global -1.0 0.5 -0.146383 .2 0.1 0.11 10
41 global 1.0 0.5 0.267067 .2 0.1 0.11 35
42 global -1.0 0.5 0.244174 .2 0.1 0.11 35
43 global 1.0 0.5 -0.123191 .2 0.1 0.11 10
44 global -1.0 0.5 -0.039590 .2 0.1 0.11 11
45 global 1.0 0.5 -0.040976 .2 0.1 0.11 36
46 global -1.0 0.5 -0.061901 .2 0.1 0.11 36
47 global 1.0 0.5 -0.017026 .2 0.1 0.11 11
48 global -1.0 0.5 0.063450 .2 0.1 0.11 12
49 global 1.0 0.5 -0.003299 .2 0.1 0.11 37
50 global -1.0 0.5 -0.025232 .2 0.1 0.11 37
51 global 1.0 0.5 0.080260 .2 0.1 0.11 12
52 global -1.0 0.5 -0.021701 .2 0.1 0.11 13
53 global 1.0 0.5 -0.063903 .2 0.1 0.11 38
54 global -1.0 0.5 -0.084962 .2 0.1 0.11 38
55 global 1.0 0.5 0.001113 .2 0.1 0.11 13
56 global -1.0 0.5 0.027075 .2 0.1 0.11 14
57 global 1.0 0.5 -0.037420 .2 0.1 0.11 39
58 global -1.0 0.5 -0.061623 .2 0.1 0.11 39
59 global 1.0 0.5 0.049554 .2 0.1 0.11 14
60 global -1.0 0.5 -0.087524 .2 0.1 0.11 15
61 global 1.0 0.5 0.133285 .2 0.1 0.11 40
62 global -1.0 0.5 0.110899 .2 0.1 0.11 40
63 global 1.0 0.5 -0.066393 .2 0.1 0.11 15
64 global -1.0 0.5 -0.102269 .2 0.1 0.11 16
65 global 1.0 0.5 0.076228 .2 0.1 0.11 41
66 global -1.0 0.5 0.055410 .2 0.1 0.11 41
67 global 1.0 0.5 -0.080059 .2 0.1 0.11 16
68 global -1.0 0.5 -0.200908 .2 0.1 0.11 17
69 global 1.0 0.5 0.095278 .2 0.1 0.11 42
70 global -1.0 0.5 0.071860 .2 0.1 0.11 42
71 global 1.0 0.5 -0.179779 .2 0.1 0.11 17
72 global -1.0 0.5 0.029480 .2 0.1 0.11 18
73 global 1.0 0.5 0.145071 .2 0.1 0.11 43
74 global -1.0 0.5 0.122092 .2 0.1 0.11 43
75 global 1.0 0.5 0.055685 .2 0.1 0.11 18
76 global -1.0 0.5 -0.048892 .2 0.1 0.11 19
77 global 1.0 0.5 0.136522 .2 0.1 0.11 44
78 global -1.0 0.5 0.115858 .2 0.1 0.11 44
79 global 1.0 0.5 -0.027757 .2 0.1 0.11 19
80 global -1.0 0.5 -0.053106 .2 0.1 0.11 20
81 global 1.0 0.5 0.060161 .2 0.1 0.11 45
82 global -1.0 0.5 0.037684 .2 0.1 0.11 45
83 global 1.0 0.5 -0.028841 .2 0.1 0.11 20
84 global -1.0 0.5 -0.225380 .2 0.1 0.11 21
85 global 1.0 0.5 0.095063 .2 0.1 0.11 46
86 global -1.0 0.5 0.064483 .2 0.1 0.11 46
87 global 1.0 0.5 -0.202010 .2 0.1 0.11 21
88 global -1.0 0.5 0.167299 .2 0.1 0.11 22
89 global 1.0 0.5 -0.031977 .2 0.1 0.11 47
90 global -1.0 0.5 -0.052687 .2 0.1 0.11 47
91 global 1.0 0.5 0.187073 .2 0.1 0.11 22
92 global -1.0 0.5 -0.006837 .2 0.1 0.11 23
93 global 1.0 0.5 -0.054822 .2 0.1 0.11 48
94 global -1.0 0.5 -0.077425 .2 0.1 0.11 48
95 global 1.0 0.5 0.016763 .2 0.1 0.11 23
96 global -1.0 0.5 0.218061 .2 0.1 0.11 24
97 global 1.0 0.5 -0.215569 .2 0.1 0.11 49
98 global -1.0 0.5 -0.238374 .2 0.1 0.11 49
99 global 1.0 0.5 0.241239 .2 0.1 0.11 24
100 global -1.0 0.5 -0.031963 .2 0.1 0.19 0
101 global 1.0 0.5 0.023181 .2 0.1 0.19 25
102 global -1.0 0.5 0.018242 .2 0.1 0.19 25
103 global 1.0 0.5 -0.031711 .2 0.1 0.19 0
104 global -1.0 0.5 0.063224 .2 0.1 0.19 1
105 global 1.0 0.5 -0.157726 .2 0.1 0.19 26
106 global -1.0 0.5 -0.151009 .2 0.1 0.19 26
107 global 1.0 0.5 0.059922 .2 0.1 0.19 1
108 global -1.0 0.5 -0.051312 .2 0.1 0.19 2
109 global 1.0 0.5 -0.120915 .2 0.1 0.19 27
110 global -1.0 0.5 -0.115462 .2 0.1 0.19 27
111 global 1.0 0.5 -0.057729 .2 0.1 0.19 2
112 global -1.0 0.5 0.066022 .2 0.1 0.19 3
113 global 1.0 0.5 -0.003740 .2 0.1 0.19 28
114 global -1.0 0.5 -0.001535 .2 0.1 0.19 28
115 global 1.0 0.5 0.065608 .2 0.1 0.19 3
116 global -1.0 0.5 0.009354 .2 0.1 0.19 4
117 global 1.0 0.5 -0.111626 .2 0.1 0.19 29
118 global -1.0 0.5 -0.108529 .2 0.1 0.19 29
119 global 1.0 0.5 0.002569 .2 0.1 0.19 4
120 global -1.0 0.5 0.056197 .2 0.1 0.19 5
121 global 1.0 0.5 -0.137091 .2 0.1 0.19 30
122 global -1.0 0.5 -0.136238 .2 0.1 0.19 30
123 global 1.0 0.5 0.055716 .2 0.1 0.19 5
124 global -1.0 0.5 0.080675 .2 0.1 0.19 6
125 global 1.0 0.5 -0.019328 .2 0.1 0.19 31
126 global -1.0 0.5 -0.010211 .2 0.1 0.19 31
127 global 1.0 0.5 0.073795 .2 0.1 0.19 6
128 global -1.0 0.5 0.023376 .2 0.1 0.19 7
129 global 1.0 0.5 -0.017703 .2 0.1 0.19 32
130 global -1.0 0.5 -0.011993 .2 0.1 0.19 32
131 global 1.0 0.5 0.017733 .2 0.1 0.19 7
132 global -1.0 0.5 -0.103321 .2 0.1 0.19 8
133 global 1.0 0.5 0.106286 .2 0.1 0.19 33
134 global -1.0 0.5 0.110597 .2 0.1 0.19 33
135 global 1.0 0.5 -0.106541 .2 0.1 0.19 8
136 global -1.0 0.5 -0.002792 .2 0.1 0.19 9
137 global 1.0 0.5 -0.065201 .2 0.1 0.19 34
138 global -1.0 0.5 -0.057226 .2 0.1 0.19 34
139 global 1.0 0.5 -0.008894 .2 0.1 0.19 9
140 global -1.0 0.5 0.057476 .2 0.1 0.19 10
141 global 1.0 0.5 0.010230 .2 0.1 0.19 35
142 global -1.0 0.5 0.017640 .2 0.1 0.19 35
143 global 1.0 0.5 0.052290 .2 0.1 0.19 10
144 global -1.0 0.5 0.087038 .2 0.1 0.19 11
145 global 1.0 0.5 -0.036213 .2 0.1 0.19 36
146 global -1.0 0.5 -0.031415 .2 0.1 0.19 36
147 global 1.0 0.5 0.078120 .2 0.1 0.19 11
148 global -1.0 0.5 -0.218846 .2 0.1 0.19 12
149 global 1.0 0.5 0.120807 .2 0.1 0.19 37
150 global -1.0 0.5 0.124385 .2 0.1 0.19 37
151 global 1.0 0.5 -0.220800 .2 0.1 0.19 12
152 global -1.0 0.5 -0.091774 .2 0.1 0.19 13
153 global 1.0 0.5 0.072857 .2 0.1 0.19 38
154 global -1.0 0.5 0.080727 .2 0.1 0.19 38
155 global 1.0 0.5 -0.096490 .2 0.1 0.19 13
156 global -1.0 0.5 0.230699 .2 0.1 0.19 14
157 global 1.0 0.5 -0.134941 .2 0.1 0.19 39
158 global -1.0 0.5 -0.128781 .2 0.1 0.19 39
159 global 1.0 0.5 0.224860 .2 0.1 0.19 14
160 global -1.0 0.5 0.206613 .2 0.1 0.19 15
161 global 1.0 0.5 -0.070771 .2 0.1 0.19 40
162 global -1.0 0.5 -0.065175 .2 0.1 0.19 40
