Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
0 global -1.0 0.5 -10.881204 .2 0.1 0.11 0
1 global 1.0 0.5 -5.661638 .2 0.1 0.11 25
2 global -1.0 0.5 -7.032621 .2 0.1 0.11 25
3 global 1.0 0.5 -9.292642 .2 0.1 0.11 0
4 global -1.0 0.5 16.009439 .2 0.1 0.11 1
5 global 1.0 0.5 -20.114058 .2 0.1 0.11 26
6 global -1.0 0.5 -20.411938 .2 0.1 0.11 26
7 global 1.0 0.5 16.219545 .2 0.1 0.11 1
8 global -1.0 0.5 -18.722374 .2 0.1 0.11 2
9 global 1.0 0.5 23.995840 .2 0.1 0.11 27
10 global -1.0 0.5 17.634668 .2 0.1 0.11 27
11 global 1.0 0.5 -15.193517 .2 0.1 0.11 2
12 global -1.0 0.5 -21.664114 .2 0.1 0.11 3
13 global 1.0 0.5 29.406618 .2 0.1 0.11 28
14 global -1.0 0.5 23.634096 .2 0.1 0.11 28
15 global 1.0 0.5 -15.074650 .2 0.1 0.11 3
16 global -1.0 0.5 17.732948 .2 0.1 0.11 4
17 global 1.0 0.5 -8.783260 .2 0.1 0.11 29
18 global -1.0 0.5 -9.813835 .2 0.1 0.11 29
19 global 1.0 0.5 19.577202 .2 0.1 0.11 4
20 global -1.0 0.5 4.941115 .2 0.1 0.11 5
21 global 1.0 0.5 -14.470397 .2 0.1 0.11 30
22 global -1.0 0.5 -15.853005 .2 0.1 0.11 30
23 global 1.0 0.5 6.346822 .2 0.1 0.11 5
24 global -1.0 0.5 8.912966 .2 0.1 0.11 6
25 global 1.0 0.5 12.470484 .2 0.1 0.11 31
26 global -1.0 0.5 10.483516 .2 0.1 0.11 31
27 global 1.0 0.5 8.238354 .2 0.1 0.11 6
28 global -1.0 0.5 17.431070 .2 0.1 0.11 7
29 global 1.0 0.5 -21.176189 .2 0.1 0.11 32
30 global -1.0 0.5 -27.478600 .2 0.1 0.11 32
31 global 1.0 0.5 21.621181 .2 0.1 0.11 7
32 global -1.0 0.5 21.045786 .2 0.1 0.11 8
33 global 1.0 0.5 10.428298 .2 0.1 0.11 33
34 global -1.0 0.5 10.746692 .2 0.1 0.11 33
35 global 1.0 0.5 21.349390 .2 0.1 0.11 8
36 global -1.0 0.5 8.772754 .2 0.1 0.11 9
37 global 1.0 0.5 -19.419971 .2 0.1 0.11 34
38 global -1.0 0.5 -18.493071 .2 0.1 0.11 34
39 global 1.0 0.5 8.483642 .2 0.1 0.11 9
40 global -1.0 0.5 -19.417171 .2 0.1 0.11 10
41 global 1.0 0.5 32.733620 .2 0.1 0.11 35
42 global -1.0 0.5 31.251787 .2 0.1 0.11 35
43 global 1.0 0.5 -17.318703 .2 0.1 0.11 10
44 global -1.0 0.5 -4.076528 .2 0.1 0.11 11
45 global 1.0 0.5 -5.443935 .2 0.1 0.11 36
46 global -1.0 0.5 -7.512769 .2 0.1 0.11 36
47 global 1.0 0.5 -1.272524 .2 0.1 0.11 11
48 global -1.0 0.5 8.209145 .2 0.1 0.11 12
