Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
0 global -1.0 0.5 -2.705529 .2 0.1 0.11 0
1 global 1.0 0.5 -1.204344 .2 0.1 0.11 25
2 global -1.0 0.5 -1.819537 .2 0.1 0.11 25
3 global 1.0 0.5 -2.273580 .2 0.1 0.11 0
4 global -1.0 0.5 3.800866 .2 0.1 0.11 1
5 global 1.0 0.5 -5.367414 .2 0.1 0.11 26
6 global -1.0 0.5 -5.762532 .2 0.1 0.11 26
7 global 1.0 0.5 4.228427 .2 0.1 0.11 1
8 global -1.0 0.5 -5.216443 .2 0.1 0.11 2
9 global 1.0 0.5 5.846781 .2 0.1 0.11 27
10 global -1.0 0.5 4.889490 .2 0.1 0.11 27
11 global 1.0 0.5 -4.417433 .2 0.1 0.11 2
12 global -1.0 0.5 -5.323713 .2 0.1 0.11 3
13 global 1.0 0.5 7.440018 .2 0.1 0.11 28
14 global -1.0 0.5 6.296871 .2 0.1 0.11 28
15 global 1.0 0.5 -4.365778 .2 0.1 0.11 3
16 global -1.0 0.5 4.538846 .2 0.1 0.11 4
17 global 1.0 0.5 -1.756573 .2 0.1 0.11 29
18 global -1.0 0.5 -2.220701 .2 0.1 0.11 29
19 global 1.0 0.5 5.231213 .2 0.1 0.11 4
20 global -1.0 0.5 0.944321 .2 0.1 0.11 5
21 global 1.0 0.5 -4.054833 .2 0.1 0.11 30
22 global -1.0 0.5 -4.475108 .2 0.1 0.11 30
23 global 1.0 0.5 1.395031 .2 0.1 0.11 5
24 global -1.0 0.5 1.841050 .2 0.1 0.11 6
25 global 1.0 0.5 2.900792 .2 0.1 0.11 31
26 global -1.0 0.5 2.291835 .2 0.1 0.11 31
27 global 1.0 0.5 2.148366 .2 0.1 0.11 6
28 global -1.0 0.5 4.795759 .2 0.1 0.11 7
29 global 1.0 0.5 -5.514158 .2 0.1 0.11 32
30 global -1.0 0.5 -6.751183 .2 0.1 0.11 32
31 global 1.0 0.5 5.928892 .2 0.1 0.11 7
32 global -1.0 0.5 4.755560 .2 0.1 0.11 8
33 global 1.0 0.5 2.931050 .2 0.1 0.11 33
34 global -1.0 0.5 2.517960 .2 0.1 0.11 33
35 global 1.0 0.5 5.428996 .2 0.1 0.11 8
36 global -1.0 0.5 2.108581 .2 0.1 0.11 9
37 global 1.0 0.5 -4.393710 .2 0.1 0.11 34
38 global -1.0 0.5 -4.561791 .2 0.1 0.11 34
39 global 1.0 0.5 2.257474 .2 0.1 0.11 9
40 global -1.0 0.5 -5.412287 .2 0.1 0.11 10
41 global 1.0 0.5 9.526139 .2 0.1 0.11 35
42 global -1.0 0.5 9.060644 .2 0.1 0.11 35
43 global 1.0 0.5 -4.827661 .2 0.1 0.11 10
44 global -1.0 0.5 -0.420294 .2 0.1 0.11 11
45 global 1.0 0.5 -1.440997 .2 0.1 0.11 36
46 global -1.0 0.5 -1.774618 .2 0.1 0.11 36
47 global 1.0 0.5 0.091278 .2 0.1 0.11 11
48 global -1.0 0.5 1.353301 .2 0.1 0.11 12
49 global 1.0 0.5 -0.200470 .2 0.1 0.11 37
50 global -1.0 0.5 -0.591986 .2 0.1 0.11 37
51 global 1.0 0.5 1.662019 .2 0.1 0.11 12
52 global -1.0 0.5 -0.315433 .2 0.1 0.11 13
53 global 1.0 0.5 -2.264436 .2 0.1 0.11 38
54 global -1.0 0.5 -2.621752 .2 0.1 0.11 38
55 global 1.0 0.5 0.114747 .2 0.1 0.11 13
56 global -1.0 0.5 1.017788 .2 0.1 0.11 14
57 global 1.0 0.5 -2.193766 .2 0.1 0.11 39
58 global -1.0 0.5 -2.800465 .2 0.1 0.11 39
59 global 1.0 0.5 1.686841 .2 0.1 0.11 14
60 global -1.0 0.5 -3.965917 .2 0.1 0.11 15
61 global 1.0 0.5 5.007830 .2 0.1 0.11 40
62 global -1.0 0.5 4.439121 .2 0.1 0.11 40
63 global 1.0 0.5 -3.157718 .2 0.1 0.11 15
64 global -1.0 0.5 -3.492680 .2 0.1 0.11 16
65 global 1.0 0.5 2.178899 .2 0.1 0.11 41
66 global -1.0 0.5 1.922753 .2 0.1 0.11 41
67 global 1.0 0.5 -3.193100 .2 0.1 0.11 16
68 global -1.0 0.5 -7.465401 .2 0.1 0.11 17
69 global 1.0 0.5 3.993127 .2 0.1 0.11 42
70 global -1.0 0.5 3.292486 .2 0.1 0.11 42
71 global 1.0 0.5 -6.394220 .2 0.1 0.11 17
72 global -1.0 0.5 1.914406 .2 0.1 0.11 18
73 global 1.0 0.5 4.191949 .2 0.1 0.11 43
74 global -1.0 0.5 3.863788 .2 0.1 0.11 43
75 global 1.0 0.5 2.298426 .2 0.1 0.11 18
76 global -1.0 0.5 -1.655239 .2 0.1 0.11 19
77 global 1.0 0.5 4.937102 .2 0.1 0.11 44
78 global -1.0 0.5 4.101496 .2 0.1 0.11 44
79 global 1.0 0.5 -1.097543 .2 0.1 0.11 19
80 global -1.0 0.5 -1.379094 .2 0.1 0.11 20
81 global 1.0 0.5 1.923360 .2 0.1 0.11 45
82 global -1.0 0.5 1.638344 .2 0.1 0.11 45
83 global 1.0 0.5 -1.130712 .2 0.1 0.11 20
84 global -1.0 0.5 -8.646447 .2 0.1 0.11 21
85 global 1.0 0.5 2.472271 .2 0.1 0.11 46
86 global -1.0 0.5 2.177866 .2 0.1 0.11 46
87 global 1.0 0.5 -8.193577 .2 0.1 0.11 21
88 global -1.0 0.5 6.436582 .2 0.1 0.11 22
89 global 1.0 0.5 -1.093901 .2 0.1 0.11 47
90 global -1.0 0.5 -1.443526 .2 0.1 0.11 47
91 global 1.0 0.5 6.459206 .2 0.1 0.11 22
92 global -1.0 0.5 0.270861 .2 0.1 0.11 23
93 global 1.0 0.5 -2.496750 .2 0.1 0.11 48
94 global -1.0 0.5 -3.168755 .2 0.1 0.11 48
95 global 1.0 0.5 0.646293 .2 0.1 0.11 23
96 global -1.0 0.5 7.348995 .2 0.1 0.11 24
97 global 1.0 0.5 -8.191083 .2 0.1 0.11 49
98 global -1.0 0.5 -9.044105 .2 0.1 0.11 49
99 global 1.0 0.5 8.064052 .2 0.1 0.11 24
100 global -1.0 0.5 -1.110014 .2 0.1 0.19 0
101 global 1.0 0.5 0.610207 .2 0.1 0.19 25
102 global -1.0 0.5 0.313010 .2 0.1 0.19 25
103 global 1.0 0.5 -0.848430 .2 0.1 0.19 0
104 global -1.0 0.5 2.364203 .2 0.1 0.19 1
105 global 1.0 0.5 -4.663786 .2 0.1 0.19 26
106 global -1.0 0.5 -5.182921 .2 0.1 0.19 26
107 global 1.0 0.5 2.556643 .2 0.1 0.19 1
108 global -1.0 0.5 -2.085206 .2 0.1 0.19 2
109 global 1.0 0.5 -3.528248 .2 0.1 0.19 27
110 global -1.0 0.5 -3.796216 .2 0.1 0.19 27
111 global 1.0 0.5 -1.436036 .2 0.1 0.19 2
112 global -1.0 0.5 2.203868 .2 0.1 0.19 3
113 global 1.0 0.5 -0.154191 .2 0.1 0.19 28
114 global -1.0 0.5 -0.345961 .2 0.1 0.19 28
115 global 1.0 0.5 2.137650 .2 0.1 0.19 3
116 global -1.0 0.5 0.094582 .2 0.1 0.19 4
117 global 1.0 0.5 -3.195939 .2 0.1 0.19 29
118 global -1.0 0.5 -3.454845 .2 0.1 0.19 29
119 global 1.0 0.5 0.410363 .2 0.1 0.19 4
120 global -1.0 0.5 1.341755 .2 0.1 0.19 5
121 global 1.0 0.5 -3.910331 .2 0.1 0.19 30
122 global -1.0 0.5 -4.758350 .2 0.1 0.19 30
123 global 1.0 0.5 1.705752 .2 0.1 0.19 5
124 global -1.0 0.5 2.383519 .2 0.1 0.19 6
125 global 1.0 0.5 -0.393242 .2 0.1 0.19 31
126 global -1.0 0.5 -0.840030 .2 0.1 0.19 31
127 global 1.0 0.5 2.734368 .2 0.1 0.19 6
128 global -1.0 0.5 0.391677 .2 0.1 0.19 7
129 global 1.0 0.5 -0.129441 .2 0.1 0.19 32
130 global -1.0 0.5 -0.402698 .2 0.1 0.19 32
131 global 1.0 0.5 0.866357 .2 0.1 0.19 7
132 global -1.0 0.5 -2.766416 .2 0.1 0.19 8
133 global 1.0 0.5 3.388161 .2 0.1 0.19 33
134 global -1.0 0.5 3.407251 .2 0.1 0.19 33
135 global 1.0 0.5 -2.709018 .2 0.1 0.19 8
136 global -1.0 0.5 -0.359920 .2 0.1 0.19 9
137 global 1.0 0.5 -1.382239 .2 0.1 0.19 34
138 global -1.0 0.5 -1.933037 .2 0.1 0.19 34
139 global 1.0 0.5 -0.161657 .2 0.1 0.19 9
140 global -1.0 0.5 1.474631 .2 0.1 0.19 10
141 global 1.0 0.5 0.611165 .2 0.1 0.19 35
142 global -1.0 0.5 0.276188 .2 0.1 0.19 35
143 global 1.0 0.5 1.841054 .2 0.1 0.19 10
144 global -1.0 0.5 2.596495 .2 0.1 0.19 11
145 global 1.0 0.5 -1.441659 .2 0.1 0.19 36
146 global -1.0 0.5 -1.725600 .2 0.1 0.19 36
147 global 1.0 0.5 2.817683 .2 0.1 0.19 11
148 global -1.0 0.5 -6.688921 .2 0.1 0.19 12
149 global 1.0 0.5 3.777393 .2 0.1 0.19 37
150 global -1.0 0.5 3.444728 .2 0.1 0.19 37
151 global 1.0 0.5 -6.716072 .2 0.1 0.19 12
152 global -1.0 0.5 -3.087076 .2 0.1 0.19 13
153 global 1.0 0.5 2.098377 .2 0.1 0.19 38
154 global -1.0 0.5 2.003541 .2 0.1 0.19 38
155 global 1.0 0.5 -2.750222 .2 0.1 0.19 13
156 global -1.0 0.5 7.132040 .2 0.1 0.19 14
157 global 1.0 0.5 -3.952085 .2 0.1 0.19 39
158 global -1.0 0.5 -4.327045 .2 0.1 0.19 39
159 global 1.0 0.5 7.499339 .2 0.1 0.19 14
160 global -1.0 0.5 6.585778 .2 0.1 0.19 15
161 global 1.0 0.5 -1.718834 .2 0.1 0.19 40
162 global -1.0 0.5 -1.968056 .2 0.1 0.19 40
163 global 1.0 0.5 6.368537 .2 0.1 0.19 15
164 global -1.0 0.5 -2.285219 .2 0.1 0.19 16
165 global 1.0 0.5 -2.019535 .2 0.1 0.19 41
166 global -1.0 0.5 -2.129941 .2 0.1 0.19 41
167 global 1.0 0.5 -1.549055 .2 0.1 0.19 16
168 global -1.0 0.5 6.118180 .2 0.1 0.19 17
169 global 1.0 0.5 -3.866153 .2 0.1 0.19 42
170 global -1.0 0.5 -3.811900 .2 0.1 0.19 42
171 global 1.0 0.5 6.249918 .2 0.1 0.19 17
172 global -1.0 0.5 4.012029 .2 0.1 0.19 18
173 global 1.0 0.5 -1.750733 .2 0.1 0.19 43
